,0,1,2,3,4,c_m,o_m,c_c,c_h,c_o,o_h,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,Pd,CH2C,4.8039,0.6121,2.134,2,0,1,2,0,0,44.330283236484696,30.267370897416768,13.113964918511767,12.919576144061935,12.875577576736749,12.735447314556536,12.685211805347178,12.638859339538019,12.594384551035366,12.575486331741025,12.536565357761734,12.52720180935918,12.52003984368211,12.506805480350726,12.465718431114144,12.442373611532595,12.435215297131558,12.419958963670087,12.402394124908907,12.39546815585248,12.368967341023623,12.357283194114116,12.3477133778831,12.343855346191454,12.33884866061308,12.330076464410805,0.4550953235867557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2675819995199002
1,Pd,CH2CH,4.8039,0.6121,2.134,2,0,1,3,0,0,43.06221248180783,31.831306101737308,13.121955960765312,12.93347460350718,12.869856487891749,12.741053687833654,12.67002805995049,12.65149042751822,12.598019536767413,12.58815623405633,12.544194608418966,12.528138375642195,12.503899384736798,12.482189139283845,12.47113842369991,12.448615050535214,12.425278193115087,12.414106314604215,12.412549112893887,12.39358765912534,12.390411388980686,12.354563129767197,12.346815827061356,12.341227492175125,12.333975225504188,12.332218047167089,0.4515697546820118,0.1360568002884716,0.0,0.0,0.0,0.0,0.0,0.0,-0.21592661042049616
2,Pd,CH2CH2,4.8039,0.6121,2.134,2,0,1,4,0,0,43.32761369752053,31.98280500142752,13.129252352914277,12.925928394873123,12.871089960357684,12.733554682947938,12.683104254148095,12.660304696764744,12.598971111897153,12.578937925896414,12.535059014618485,12.526249119263687,12.515454244889064,12.51187248360034,12.465213016691074,12.443055199052145,12.43377801028476,12.420381844197125,12.404839886246474,12.400514532138127,12.367429843053687,12.36477862691689,12.345385528811557,12.342510679868695,12.336837088938402,12.329341815049805,0.4611283003617041,0.4453174502170524,0.0,0.0,0.0,0.0,0.0,-0.15465647213808326,-0.3238913917119143
3,Pd,CH2CHCO,4.8039,0.6121,2.134,3,1,2,3,1,0,79.42969015264211,44.235985753986576,34.157077420743285,27.50411052860444,13.11757575316642,12.915835015444571,12.867081828564483,12.728300989241225,12.681632058654472,12.657535377148523,12.597738179701116,12.58161228490743,12.535028299840713,12.526104500979107,12.520048563068766,12.505959312252948,12.479537249261146,12.441113557688587,12.426175590093814,12.416358210084367,12.408650279501211,12.395556160907455,12.366940929095929,12.366631543778498,12.354617649614019,12.34483431356002,12.334719574431558,12.330762717159908,0.4528429979903524,0.10942456059247063,0.0,0.0,0.0,0.0,-0.25252053437275623
4,Pd,CH2CHCOOH,4.8039,0.6121,2.134,2,0,2,3,2,1,82.89778268866651,73.19449351701972,43.64205622644646,33.590889569025556,26.59030028098832,13.129230233052127,12.920365505473555,12.874375037906294,12.735226671098633,12.684896118611475,12.658219260086709,12.596563790426135,12.580614895653962,12.541220819399323,12.525287175580804,12.514089797188461,12.504722816647515,12.464684090945376,12.442183712239649,12.432934263613848,12.41937526010602,12.405740029209976,12.39879484658733,12.367683805192552,12.365908739392054,12.347780046315483,12.345025040971947,12.339155741626326,12.327729645313346,0.4531181240038433,0.09918950490972236,0.0,0.0,-0.2524519100152201,-0.5835298055412308
5,Pd,CH3C,4.8039,0.6121,2.134,1,0,1,3,0,0,42.369371013382526,32.529303171017304,13.110465584098526,12.932559766220656,12.870052871497107,12.740929981262699,12.668945849054847,12.642776201144345,12.597069937785614,12.584060941521425,12.54668651533231,12.52803356538318,12.503974835704279,12.482134296141677,12.471069898218849,12.449118166136794,12.427396331546175,12.413129501531234,12.41000066822644,12.392043397069092,12.385393823511405,12.354973925162472,12.348729244442904,12.345786567399099,12.334333458053806,12.334122417863295,0.445370299001896,0.4452996545068039,0.0,0.0,0.0,0.0,0.0,0.0,-0.5009709831202126
6,Pd,CH3CCO,4.8039,0.6121,2.134,2,0,2,3,1,0,81.41247597075386,42.897836976176144,34.56927596453386,26.37925906156187,13.119132704969289,12.920479218671328,12.87324657805802,12.733104336176222,12.683555442528556,12.649878059806607,12.596278041804874,12.57879747092728,12.534019374023902,12.527637312744048,12.5155231721612,12.506669830968628,12.464483220836179,12.4429346372955,12.434788310300274,12.419117582017064,12.403356150002926,12.39894357823704,12.366778163838415,12.360476165091308,12.346158899962814,12.344595248394835,12.338706164726258,12.33047495402698,0.4458708343948436,0.4440452834477319,0.0,0.0,0.0,0.0,-0.5009378901049784
7,Pd,CH3CCOO,4.8039,0.6121,2.134,1,1,2,3,2,0,84.08880947190194,72.39089479905104,42.41578174736315,33.67812144517938,26.13622332987043,13.123350771967493,12.916634114317427,12.865757702300934,12.729176824751196,12.68190116689001,12.654275132628284,12.595542309079145,12.583676452302775,12.535620943720144,12.527150547229756,12.519186217889562,12.506795258265743,12.481062295928819,12.44148970651258,12.425179322044576,12.422019089243026,12.404950042906576,12.393027757970913,12.368604067791347,12.366920508845682,12.347602807827775,12.344121721072641,12.336526167746394,12.33037743982998,0.4446767505730004,0.4427754625239197,0.0,0.0,0.0,-0.4445758373823473
8,Pd,CH3CCOOH,4.8039,0.6121,2.134,1,1,2,3,2,1,82.77012962447462,73.07969476423662,42.62324909794654,34.42753428675262,26.887720631090488,13.120987661013142,12.924378365375604,12.86558090636122,12.728489290406866,12.67832133019026,12.653037384811602,12.594971429122275,12.579635881285984,12.538014190530422,12.528064295807981,12.517658534342345,12.507644931141588,12.479938771227784,12.443870485399296,12.428549681529171,12.419799255184211,12.400648243377569,12.399485415499878,12.371254856668893,12.363797960788617,12.352593726326173,12.34544981933341,12.33591581253078,12.331614251098664,0.4443933882574851,0.4426062017255071,0.0,0.0,-0.4556988561966647,-0.5756760794980239
9,Pd,CH3CH,4.8039,0.6121,2.134,1,0,1,4,0,0,42.328991741852995,32.855044159621485,13.121780664439616,12.939305842200005,12.866114179172444,12.740044101624914,12.679047417060838,12.648818089067365,12.631009746775966,12.557915072781851,12.539755687664357,12.533516405483313,12.494339085509095,12.488727348816631,12.459667415396677,12.45528352873646,12.428814482144587,12.424549630785911,12.404273533221302,12.394110342719117,12.384199279382672,12.355604129020188,12.352105958521552,12.34610572182433,12.334634211827392,12.32935731601307,0.4461417146715816,0.4435406695781632,0.1592216458014974,0.0,0.0,0.0,0.0,0.0,-0.47985822261888
