,0,1,2,3,4,c_m,o_m,c_c,c_h,c_o,o_h,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
10,Pd,CH3CH2,4.8039,0.6121,2.134,1,0,1,5,0,0,51.267445025336684,50.63360835129539,50.48564939447151,50.052103170065635,49.92587986595704,49.85108859447102,49.656515182268976,49.61018132625904,49.482838628429384,49.43756356200503,49.42035708527712,49.388305329872786,49.29492419551057,49.16201821630038,49.121767125739524,49.108277229431,49.060410166316224,49.018346537910226,48.95218827227546,48.93424035019449,48.87377983256016,48.85837920252195,48.82977569986495,48.81122706803718,42.25203441083728,33.18659925654129,0.4527076643289678,0.4433311643496336,0.4404389875849969,0.0,0.0,0.0,0.0,-0.18914455638973188,-0.49749886902299
11,Pd,CH3CH2CO,4.8039,0.6121,2.134,1,1,2,5,1,0,78.97297286042883,51.23168553014707,50.6988915392425,50.47194605014155,50.121926176437654,49.91717920827246,49.8584750160445,49.65609374852776,49.565196627772046,49.48585663476986,49.44345294149849,49.42002090449007,49.30541644003385,49.222560524536895,49.19735701542342,49.15952052136579,49.088445327518606,49.026100195160616,49.017872190715806,48.98765208110615,48.903206551043795,48.87221471073092,48.8519097429585,48.83670335818232,48.79341148844899,42.6895922397924,35.02294259724249,29.2581497032268,0.4497452997356652,0.4443301665461355,0.43768185919501396,0.0,0.0,-0.16464935260076738,-0.5437225083004541
12,Pd,CH3CH2COO,4.8039,0.6121,2.134,0,2,2,5,2,0,83.39070520066778,72.56823542597328,51.27213150822368,50.69304421877565,50.50484454670169,50.08205689638496,49.94751067545386,49.805527784150236,49.65665903664755,49.557971742644355,49.46465404761061,49.454423819156645,49.42688321330843,49.30758206325768,49.23873009772047,49.1295536767745,49.1222110532225,49.09362946708259,49.03168627998955,49.00980112557828,48.99515617187129,48.899249131261705,48.85837697485167,48.83517085905022,48.81687775899202,48.79982082702121,42.55149544502543,34.3462527225886,26.7534769832166,0.4471141512517314,0.4448616355513263,0.4351541009323944,0.0,-0.17831051085974015,-0.5457060204322455
13,Pd,CH3CH2COOH,4.8039,0.6121,2.134,0,0,2,5,2,1,83.5151235809971,73.16581458489316,51.28558316752704,50.68482646795041,50.50271809326618,50.075899183401575,49.94876772592335,49.823750250800025,49.664026458342846,49.55627137858042,49.46408305274903,49.46154325275774,49.437590286179145,49.310948769288274,49.242211675495824,49.131841646882364,49.12735508746861,49.09668883341818,49.033680126125816,49.010041071466595,48.99785007954178,48.90590325128413,48.86519478230905,48.835847721423605,48.82026692592608,48.8060695523965,42.66110430667846,34.51395902152937,26.707181914006327,0.4469942161074577,0.4440259081640971,0.4346242593248922,-0.14433422986630373,-0.545840340528166,-0.5707799521631669
14,Pd,CH3CH3,4.8039,0.6121,2.134,0,0,1,6,0,0,51.26939141181818,50.63639797019097,50.49858630099658,50.067307195682886,49.931338170945,49.83178013439365,49.65847065023924,49.60032500287564,49.46413316274704,49.434305694395036,49.399981408495904,49.385833066872436,49.24685986513631,49.16680425293855,49.13817763451432,49.098841571831024,49.05617000948463,49.03265302318443,48.93219868786675,48.91743409822289,48.85906928588719,48.840551131537005,48.83856371684947,48.805772064769535,42.276930091898436,33.64232163849969,0.4496173722310555,0.4492279791192387,0.4378305883290747,0.4376323278129333,0.0,0.0,0.0,-0.4120862539462893,-0.5670817852183182
15,Pd,CH3CHCO,4.8039,0.6121,2.134,2,0,2,4,1,0,81.68271831066154,51.26364817912958,50.645939484661035,50.49480983433475,50.07120337059308,49.94970475760235,49.88377418557431,49.659431289481475,49.60251719115079,49.46846398622034,49.43837184772993,49.410546864974435,49.39255652056857,49.248154285624025,49.16699014525174,49.142004468835395,49.10941296131946,49.06036941343615,49.03794505700945,48.942929901089535,48.924366544974355,48.88321883836875,48.859213173536205,48.827335709054715,48.801460270720106,42.52065839165702,34.46521230047236,26.73902059277137,0.4457977022057151,0.4442980477070575,0.12724378355538646,0.0,0.0,0.0,-0.5091800204332613
16,Pd,CH3CHCOO,4.8039,0.6121,2.134,1,2,2,4,2,0,82.18980784428615,72.55471479362457,51.26870542267273,50.67440399632575,50.51729741146777,50.08285519435878,49.954556808904286,49.83724422756162,49.662740706321145,49.562639032552966,49.46348062732717,49.45176999196822,49.42820611775464,49.29507918262357,49.243962811258754,49.14990265372733,49.115309795114314,49.09375232047356,49.03062776002295,49.0104414118743,48.993599744740465,48.90382500171253,48.88823790953091,48.846134060948685,48.81917511121664,48.79611859560357,42.866498461717725,34.34108035735477,27.17829401270257,0.4470074714622243,0.4422030181418656,0.10565552981163012,0.0,0.0,-0.4984952755166786
17,Pd,CH3CHCOOH,4.8039,0.6121,2.134,1,0,2,4,2,1,82.75274004398504,73.13584499145179,51.25570854710778,50.64832931512479,50.496434702066786,50.074132800014155,49.93151861517352,49.863014285217474,49.6613796698961,49.60262454572332,49.46199144572857,49.4443172679815,49.39461435114244,49.382890539058565,49.24976333273533,49.164597284210394,49.140066914028175,49.096750274591024,49.052133477842254,49.040584959472866,48.938734800347106,48.92410085556524,48.885275516145754,48.84943525084036,48.82501409107893,48.80187293495315,42.727682856134926,34.56470190972359,26.915527416905213,0.4448165613546294,0.4436087382447552,0.13292717740354595,0.0,-0.5111912107419093,-0.5751121508597732
18,Pd,CHCH,4.8039,0.6121,2.134,2,0,1,2,0,0,51.391563912272865,50.68195038272765,50.52331026871212,50.10313855852226,50.07013906595623,49.914367555416355,49.67512193422736,49.61841174585216,49.49937008847385,49.44343965457193,49.412796501103536,49.377045439958465,49.250405471908905,49.170103503871104,49.150442234374744,49.104643344301145,49.082695929740716,49.039400157848824,48.955782494107105,48.93435512427149,48.88092177873538,48.86290361555659,48.82869744511865,48.799600539204505,44.23800516224212,29.639097916939512,0.15679869599547255,0.02082894858973913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Pd,CHCHCO,4.8039,0.6121,2.134,3,0,2,2,1,0,81.55289936891734,51.34312684132783,50.60168753961936,50.53484433939249,50.07538220089803,50.03056057886674,49.86922546158004,49.68332252468598,49.64279071036282,49.49736190447578,49.46797526630001,49.398998626017466,49.345305277466494,49.19903564393633,49.17638786708602,49.15331014038856,49.12283061436735,49.094062192711924,49.04433375700755,48.99941577593803,48.91250770034085,48.86977631941853,48.86297168542552,48.832038379191005,48.81599359813138,43.174817249671484,33.04586950424707,26.611141088034483,0.16644808504796604,0.07571714898291124,0.0,0.0,0.0,0.0,0.0
20,Pd,CHCHCOOH,4.8039,0.6121,2.134,2,0,2,2,2,1,82.78659425776563,73.17421343841866,51.286852495744384,50.678380559258756,50.54681359381266,50.10910673833283,49.94474845079255,49.9071869650603,49.65192691448488,49.59726738718091,49.562367803591385,49.4319799033989,49.41239209500089,49.38177806087554,49.24381309762111,49.19117543409189,49.1316608517441,49.10111954827493,49.049195675698044,49.02735545076779,48.9361067985089,48.92901511326056,48.87205678520359,48.86608282384576,48.83009960048913,48.80525809267697,42.97632161600114,33.451447249709545,26.680867706897946,0.15644438908918298,0.07408877628014174,0.0,0.0,0.0,-0.5768855642311909
21,Pd,CO,4.8039,0.6121,2.134,1,0,0,0,1,0,82.37990920244552,51.256617807833074,50.666371276435825,50.48602981022167,50.09490234513353,49.90477842041469,49.8521947091261,49.66197967680126,49.64052776817997,49.492801050204356,49.44201188932267,49.36514569700765,49.29717418664762,49.264473724756186,49.191428130941226,49.118815149078806,49.092383997168504,49.073499009586804,49.01871677688097,49.002629963938,48.8998810285392,48.86433540547145,48.856120230869024,48.817640766271246,48.81556936601126,27.92798960169889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Pd,CO2,4.8039,0.6121,2.134,0,0,0,0,2,0,91.13573353423584,72.64852740240231,51.28909522655612,50.67984473992565,50.507677200633104,50.07332020421076,49.94783817934029,49.82907329530722,49.66180060782892,49.559448806762674,49.46622031073829,49.45827034007863,49.43594749495167,49.31554402952744,49.2434789185355,49.133849750104396,49.13109054387419,49.090065194880154,49.0331046516796,49.01060570048952,49.00404336999319,48.90935573878657,48.86069272558536,48.83858254429247,48.82028698745649,48.80890805437583,20.108216158244087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Pd,COOH,4.8039,0.6121,2.134,1,0,0,0,2,1,83.11789276000798,73.12188380774688,51.267194245449936,50.68896706666853,50.50761719412481,50.080223305684974,49.944352708678636,49.83065933382698,49.65927892841545,49.56206902221682,49.464727352652815,49.45836410473408,49.43724299755986,49.30822651292424,49.241229197272396,49.13768055577086,49.12756806693965,49.095267527689316,49.03173309007714,49.01265122953762,49.001584447693475,48.902076016489296,48.887893313593274,48.84343134765162,48.826924157291096,48.80236031037803,28.66258738077362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5210642710536888
24,Pd,H2O,4.8039,0.6121,2.134,0,0,0,0,0,2,75.65375991233256,51.2553201997134,50.634350587159936,50.48602156791325,50.055375075897224,49.920164748611406,49.81712631613525,49.64929509891034,49.608794246205136,49.46278231003738,49.4356875681554,49.412399738997564,49.3712781963278,49.29396866250024,49.16200232769592,49.116102321213255,49.10614491478186,49.05407834564147,49.02062881572651,48.941556612274496,48.92092525965693,48.877113746124614,48.84562311005458,48.82620359919678,48.81486784507826,0.3903388613630425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.506088196145234
25,Pd,OH,4.8039,0.6121,2.134,0,1,0,0,0,1,74.78795071012358,51.21425792697481,50.644578219259536,50.503299426924976,50.063223747084464,49.933671847463685,49.7728551393666,49.63376910274294,49.5940713477295,49.467020678464664,49.43406598365009,49.42775637906047,49.365938561192316,49.28956735342554,49.15659044726928,49.1199648426397,49.09633207804529,49.037078922287165,49.01345359137237,48.937171389508855,48.89608092788768,48.8767345800724,48.84878741827573,48.817930808519975,48.81324789100544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6195775287881133
