,0,1,2,3,4,c_m,o_m,c_c,c_h,c_o,o_h,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,Pd,CH2C,4.8039,0.6121,2.134,2,0,1,2,0,0,59.211710440432604,26.56654462598216,21.71337554465516,21.132800402301573,19.541976959708048,17.339213216339246,15.969752795667677,14.294116764734216,13.711251354076884,12.79873310663934,12.173149991714986,11.892007430859154,11.79175869153591,11.57402503586141,10.619026973342402,10.113290137744533,9.902938556695727,9.503929600495002,9.137365047056141,8.858645994976827,8.583017902718609,8.186582595076892,7.977149704816477,7.837428368358139,7.666036064482866,7.532572172885658,0.17449639819729526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14073497825816214
1,Pd,CH2CH,4.8039,0.6121,2.134,2,0,1,3,0,0,58.137324486803685,25.875595105481402,23.59728358493457,20.848332828731447,19.90867062919267,17.39120742770726,15.689269056917162,14.316791395613482,13.89689314276446,13.318761721468098,12.234016080649278,11.937708691689375,11.582941304210264,11.09950237139907,10.900560689599226,10.240274116940448,9.685741491446736,9.410089703007367,9.194340893704293,8.901482067880146,8.636880012540331,8.429036929177956,7.889460842221039,7.7775856988998475,7.620839568360586,7.563517667206706,0.16100229930145396,0.04995135919444044,0.0,0.0,0.0,0.0,0.0,0.0,-0.13290026794611262
2,Pd,CH2CH2,4.8039,0.6121,2.134,2,0,1,4,0,0,57.226295077266315,26.056259352241927,22.588418009849068,21.937686345021657,19.47845667854173,17.32855232061478,16.079178812912005,14.475492612122276,13.813658854837756,13.514470697223418,12.272311891564698,12.126346436013545,11.809596243393063,11.623216688162485,10.668350642183665,10.120272523742418,9.851570604905687,9.520449421275515,9.076298450499996,9.009624053251096,8.577076756076444,8.494127754409991,8.092283870382898,7.726692390523369,7.630090292100825,7.4811795587957715,0.2405816577475048,0.089078972332351,0.0,0.0,0.0,0.0,0.0,-0.040387160876198126,-0.20506890801942765
3,Pd,CH2CHCO,4.8039,0.6121,2.134,3,1,2,3,1,0,97.22823275334184,53.896934958480074,25.94638499349035,24.642439846391913,21.83483013474409,20.05577433357095,17.13839509483923,16.03979519493628,15.270814662918813,14.174633019736874,13.790967659762533,13.465870656576595,12.300125889991104,11.936929813846517,11.802928733689795,11.17874273800348,10.764753663030886,10.044695616623637,9.529287486688498,9.412932121281925,9.061327208307784,8.951593089113109,8.620580232829376,8.40899356781269,8.112571075384691,7.726295844163098,7.621044558018223,7.530949083570197,0.17458297446285512,0.02563337298440143,0.0,0.0,0.0,0.0,-0.15207956025926386
4,Pd,CH2CHCOOH,4.8039,0.6121,2.134,2,0,2,3,2,1,115.72550628965334,60.538701119281676,51.138249434348545,26.231053730854363,23.41968548372024,21.346161148291497,20.39140210444735,17.305783354025973,16.115073162855857,14.583055332624427,13.86266037559468,13.5245801704432,12.89795367171278,12.12272501145277,12.008310318407904,11.822974685941062,11.496830547695351,10.669359640525991,10.05039335752119,9.826610400060812,9.50675713338823,9.039200799086254,9.00699167749631,8.554772682302573,8.47688184305569,8.061844079368036,7.739478234313093,7.626144956151079,7.490434380845405,0.17577204559667908,0.02690537503491506,0.0,0.0,-0.07426790511259014,-0.15432910284186735
5,Pd,CH3C,4.8039,0.6121,2.134,1,0,1,3,0,0,57.30030560981971,27.35426552148132,22.2607001501617,21.555234366488794,20.196545918201767,17.492932704036527,15.642063591065025,14.335634926347964,13.906464297520822,12.83149309619997,12.530980481698705,11.716062297899684,11.584016700418534,11.100634031939485,10.826776093250189,10.306124391494905,9.711303830805845,9.4264692164426,9.236079956142296,8.903380229984856,8.523108580215991,8.199163605189394,7.9831489810284255,7.8816527164559975,7.65710129702867,7.593458250811339,0.15723521674832286,0.15717057337311915,0.0,0.0,0.0,0.0,0.0,0.0,-0.2073457331552373
6,Pd,CH3CCO,4.8039,0.6121,2.134,2,0,2,3,1,0,97.98489445410007,51.52256303192731,28.422949222554678,24.198041787424717,21.667274450034984,20.51910938185912,17.304528035829392,16.35042094753219,14.558329337676891,14.191728750110352,13.679027509434285,13.083721447827651,12.183832591831276,12.089511716708314,11.847943174641342,11.138223319400137,10.562646792113608,10.089247777704443,9.889135390495868,9.461654715607695,9.05443388548476,8.880131446125773,8.542152370061856,8.231656999987269,8.039595242169684,7.813810214381631,7.668231268478199,7.4734356174928545,0.15644373891618485,0.14137680003846756,0.0,0.0,0.0,0.0,-0.20909059961823975
7,Pd,CH3CCOO,4.8039,0.6121,2.134,1,1,2,3,2,0,116.59413199738108,60.68107727092094,50.08206120138004,26.121823844109343,23.525953566264683,21.419765166264067,20.11631049732336,17.090510005732263,16.10870668568435,14.735499994295793,13.865239907921396,13.543066080994501,12.77446246283303,12.325479313670261,12.019227481922364,11.844452616379568,11.122030633084657,10.851236220899997,10.002180251807593,9.534169241342354,9.321160892285752,9.147466573775905,8.930161158977011,8.678117789871518,8.543457997925596,8.0906159322309,7.777220882841388,7.631463510208804,7.500863329607668,0.15376635901602978,0.11616724542191688,0.0,0.0,0.0,-0.19419057423119668
8,Pd,CH3CCOOH,4.8039,0.6121,2.134,1,1,2,3,2,1,115.96591731200628,60.75819537754505,50.03553155387589,26.173332390482802,23.749103917305874,21.643003868690933,20.46297056874505,17.15032322416449,15.947100823232093,14.755145517750973,14.035911305504117,13.586844350772285,12.5912217052848,12.210377397332651,12.09832840618426,11.826366460526762,11.288897937033305,10.93549111530655,10.093275010253695,9.63336300745283,9.504605548098283,9.094655219573797,8.847288119531212,8.680469452086006,8.396205041581027,8.090498842127829,7.776555687543932,7.674803363133567,7.548956941394226,0.15631030133427282,0.1129324319355852,0.0,0.0,-0.07008625347095496,-0.20024040617626016
9,Pd,CH3CH,4.8039,0.6121,2.134,1,0,1,4,0,0,56.517382207162036,26.857337889630784,23.347137498269497,20.937570085204907,20.424016497522963,17.44915657736065,15.884486926850547,14.762692196161654,13.93830353490709,12.880806645746352,12.531460752911787,11.838320135404553,11.40865011427771,11.277608754203198,10.644510520421052,10.483811989509157,9.674694747469287,9.483128069652397,9.013194279924546,8.915458215628858,8.673181493354551,8.407708402014206,8.009383449832724,7.927861964995085,7.7466479088385825,7.498505983853952,0.167083650787797,0.15529546825787086,0.018193396599802583,0.0,0.0,0.0,0.0,0.0,-0.21142845765670507
