,0,1,2,3,4,c_m,o_m,c_c,c_h,c_o,o_h,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,Pd,CH2C,4.8039,0.6121,2.134,2,0,1,2,0,0,44.25916817345273,30.327439732459197,12.912907123225114,12.796701769830205,12.769197296858964,12.680402641009806,12.649461621772494,12.620741441310956,12.58481242982362,12.57018248286414,12.54840279375774,12.543694235633588,12.533780747324524,12.523662063530214,12.501342067706235,12.474654911863606,12.468192238350953,12.459383768748946,12.444705624390387,12.438280005932274,12.41166363432806,12.401234886576034,12.395457438449734,12.389227317238035,12.38613940992865,12.37975916191506,0.4568068132269611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2652409324118533
1,Pd,CH2CH,4.8039,0.6121,2.134,2,0,1,3,0,0,42.990173871487066,31.89130295019257,12.917336679206295,12.80667739388658,12.76403776777819,12.68405076077521,12.639614770508986,12.633691790956625,12.587341770682068,12.580500289988331,12.552319114762852,12.542613375980947,12.524486060921195,12.508127734600114,12.497221109472447,12.481814969712165,12.463816168065685,12.453888003625085,12.45082496606149,12.435787067883735,12.432345788024989,12.397399991672394,12.396045971068284,12.389246557143135,12.383065193477664,12.380887679303935,0.4532848154016581,0.13775439275802545,0.0,0.0,0.0,0.0,0.0,0.0,-0.2134961063011793
2,Pd,CH2CH2,4.8039,0.6121,2.134,2,0,1,4,0,0,43.256363981944176,32.042539636488016,12.923790285347572,12.801950905834484,12.76515427451586,12.6789172684384,12.64641951280816,12.642470842479725,12.588327877038006,12.574713502548244,12.54705491165408,12.54092630040325,12.530033600474848,12.529170138959785,12.499256714307954,12.475701156912232,12.468212009057494,12.459476741913704,12.45004400659202,12.440601361362072,12.410733233615634,12.407548452446642,12.39259793699778,12.390521939056402,12.384733932344453,12.378999630207035,0.4628489373707358,0.44702617837450986,0.0,0.0,0.0,0.0,0.0,-0.15336279657899546,-0.32061157381759864
3,Pd,CH2CHCO,4.8039,0.6121,2.134,3,1,2,3,1,0,79.36036690695425,44.165120798056606,34.225799308284614,27.56310948129879,12.914598057562392,12.792844957533836,12.762420189233778,12.676973827592851,12.643172818088367,12.64119237487012,12.587412222451356,12.577572821569385,12.548662074245696,12.539251309698518,12.533468076501654,12.523545084098668,12.504132753474352,12.4765074507311,12.465864230076914,12.45598617100365,12.45150007537216,12.43561466334409,12.410855772557289,12.407598117903726,12.401814363287151,12.392496258144776,12.383389759316506,12.379941313134044,0.4545580238183602,0.11113056669377316,0.0,0.0,0.0,0.0,-0.2499390085662257
4,Pd,CH2CHCOOH,4.8039,0.6121,2.134,2,0,2,3,2,1,82.70315601974228,73.30002734631525,43.590133877037694,33.65431684426691,26.654154927964743,12.924035150495401,12.797255986498245,12.768080896602822,12.680732634118412,12.646346136676131,12.642546429301689,12.586143742980163,12.575859799464741,12.553382099258693,12.540385764273939,12.528893117065016,12.519996829591038,12.499061874243262,12.475730643790603,12.466931717868908,12.458370808211635,12.45116194856107,12.43866822225049,12.41134877664536,12.408957568175914,12.394115599859793,12.393114969791872,12.387922707691116,12.377090138474973,0.4548342506431461,0.100966704766951,0.0,0.0,-0.2498922959936772,-0.5801756984913135
5,Pd,CH3C,4.8039,0.6121,2.134,1,0,1,3,0,0,42.29695700000701,32.588878478501485,12.908267700631747,12.805427839840927,12.764249681732414,12.683872576317821,12.638210453328623,12.625554003029473,12.587525767532934,12.575289650166305,12.554428567671161,12.542404043560154,12.523942055890519,12.508372780776035,12.497883815466599,12.482183515528913,12.465658820307127,12.453104602302616,12.447926885048114,12.434660281343774,12.425418961827516,12.398414169129053,12.397348046556619,12.394409623394687,12.383746529450846,12.382466391711993,0.4470790745428643,0.4470083553224641,0.0,0.0,0.0,0.0,0.0,0.0,-0.4985287718232686
6,Pd,CH3CCO,4.8039,0.6121,2.134,2,0,2,3,1,0,81.3384064869322,42.833176150659426,34.63043328566341,26.44512386609157,12.91574715153938,12.796959855061832,12.766902117027184,12.678573051820575,12.647176869417533,12.632100824633516,12.585333114738578,12.57407043835641,12.545814616696914,12.542958667493298,12.53005085996309,12.523676385066063,12.498976768166266,12.47543178175405,12.469183101716368,12.458374923212117,12.447662773870384,12.438778823357735,12.410653845366394,12.403060579092354,12.395519348750561,12.390845736966002,12.386557282471461,12.380531688823485,0.4475910513625781,0.44575291070045103,0.0,0.0,0.0,0.0,-0.4984635384385823
7,Pd,CH3CCOO,4.8039,0.6121,2.134,1,1,2,3,2,0,83.89744124544055,72.49568730788883,42.359744970367174,33.74317364470034,26.202263178668954,12.919998534426034,12.793340862559075,12.761488902961835,12.677380400656775,12.643830180866967,12.638256409728367,12.585257094689537,12.579495716775579,12.548352125981172,12.540539293466752,12.533060228666551,12.525438157241476,12.506110868659912,12.475785297137465,12.464026497340894,12.461285616346574,12.44899192014671,12.433212823757382,12.412336991010752,12.409119041274073,12.394142221149005,12.391260486337206,12.384346177226911,12.379634751583968,0.4463876465636588,0.4444856951220248,0.0,0.0,0.0,-0.44221875059947136
8,Pd,CH3CCOOH,4.8039,0.6121,2.134,1,1,2,3,2,1,82.57597159024135,73.1853839486858,42.567943856111995,34.493832188042624,26.950964840149044,12.917659660031248,12.801572508323071,12.760886577120946,12.676906254081244,12.640680863131982,12.635730924589868,12.584300339094401,12.575378998882847,12.550461891995633,12.542476672438227,12.53165945100112,12.526048494892384,12.504514331341147,12.477537801466346,12.467932455178307,12.458512634354653,12.444302808257547,12.439866317963444,12.413813186861491,12.406497008521352,12.399641397730374,12.393191095093822,12.384380294108315,12.380825673290506,0.4461015709327488,0.4443342345988725,0.0,0.0,-0.4533056058714911,-0.5723487244983302
9,Pd,CH3CH,4.8039,0.6121,2.134,1,0,1,4,0,0,42.25713692761775,32.91460872463763,12.917993094207823,12.811261356211409,12.761464248113365,12.68386882422077,12.643433343259812,12.633471173749616,12.611189683503712,12.560742683309146,12.55079108635249,12.543401022104876,12.514678537249086,12.513919130687572,12.485915338725937,12.483288094943266,12.467814521072604,12.463054793473582,12.446442110842964,12.438158487119455,12.429186882585055,12.401754648017272,12.398330379696088,12.392543316779904,12.381435373145138,12.37954081035155,0.4478612444401988,0.4452484666254583,0.16098247936533866,0.0,0.0,0.0,0.0,0.0,-0.4773558833123615
