,0,1,2,3,4,c_m,o_m,c_c,c_h,c_o,o_h,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,Pd,CH2C,4.8039,0.6121,2.134,2,0,1,2,0,0,61.26028327551254,29.11415174159141,23.256443901885643,22.308457935806047,19.377960630027296,17.88531163633833,16.079138095229798,14.188881527624286,13.606646337948742,12.438455334130435,11.730814496445868,11.551771207949072,11.373425751088286,11.156870830102367,10.095499345973414,9.636317434687015,9.244077808751918,8.945812870124227,8.560521110930978,8.290613271365313,8.144691965069658,7.8982510870639215,7.7175747360309686,7.422760528302914,7.241957194106352,7.166847784620563,0.15083391072972774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18221085034034226
1,Pd,CH2CH,4.8039,0.6121,2.134,2,0,1,3,0,0,60.262343092852106,28.224015045758357,25.095083855023397,22.12326859706061,19.919817720348142,17.853533474728355,15.803622071866755,14.16911964546465,13.811461611722839,13.004756310427377,11.84531589039491,11.491653555426455,11.1651858340265,10.608533191194132,10.476678990748773,9.735485935017374,9.031959581360947,8.823201544369084,8.641729297359849,8.38859266495829,8.20471702859797,8.081870537406862,7.508653012705383,7.462479300964564,7.236798716551564,7.207457897939325,0.13909010333829908,0.024606428800534742,0.0,0.0,0.0,0.0,0.0,0.0,-0.178870037317076
2,Pd,CH2CH2,4.8039,0.6121,2.134,2,0,1,4,0,0,59.04483256937787,28.809200672737646,23.720268309828068,23.407801811360603,19.422279267264773,17.889737752830268,16.39086371304606,14.233957493236895,13.641900065929928,13.379426624600976,11.906910150672893,11.694640115231874,11.392263420981756,11.187128303571903,10.154473009581931,9.633231384202867,9.185290872693985,8.987171423620303,8.544046695184091,8.335258758937327,8.13154998007231,8.091254908866208,7.793116956195222,7.359121487144032,7.219480988214582,7.146903915475058,0.21868735833108596,0.06710902030263527,0.0,0.0,0.0,0.0,0.0,-0.0691343857172608,-0.25661174467937903
3,Pd,CH2CHCO,4.8039,0.6121,2.134,3,1,2,3,1,0,100.34621098355105,53.85861624614847,28.53326707580261,24.389390698234983,23.490307261424807,20.85959073574548,17.658176991406833,16.380751143552413,14.518158189622056,13.962190335303323,13.565470844044182,13.234306296263785,11.915784472637473,11.53155822226486,11.358663423435171,10.67747078334326,10.339572449680388,9.567002495846317,8.91980059211885,8.808838933302303,8.491336565171826,8.397213049266288,8.221576241075141,8.017521483704611,7.826682195052516,7.305155690477974,7.251749841856728,7.158144331427701,0.15158605400341402,0.0,0.0,0.0,0.0,-0.00069331413030972,-0.19843949330157745
4,Pd,CH2CHCOOH,4.8039,0.6121,2.134,2,0,2,3,2,1,120.01979361759692,59.33467720254074,50.95485032264524,29.108385199602235,24.018276475825893,22.230627449807237,21.13281046972038,17.863424133902665,16.415674317962832,14.31387930322308,13.728600686895593,13.395075390610087,12.085202905079305,11.694145475478964,11.53170358572617,11.421302540066895,11.054772780686829,10.148532909455783,9.59261490762538,9.171419125325084,8.978368066915465,8.494482413853822,8.328707970357566,8.107442284340241,8.079292875208756,7.767905328545813,7.371501127587161,7.2163855568306445,7.148969089252072,0.15328033782205025,0.0,0.0,-0.0019742404890764355,-0.11019086180019418,-0.196283210058502
5,Pd,CH3C,4.8039,0.6121,2.134,1,0,1,3,0,0,59.3690530332253,29.566829080508708,23.978729412866386,22.391581389042226,20.326919879330095,18.10497821705545,15.832068523240595,14.205886532767826,13.813775331680928,12.442954582023225,12.199651446165545,11.357119040774329,11.167092190432015,10.61087597476052,10.369347062120523,9.77590194921181,9.045909909936208,8.833641239467047,8.708347985166576,8.390362402699303,8.13363233055365,7.931522717370497,7.6331966533471505,7.464538244282978,7.2853866312359985,7.211198947404434,0.13284953824327728,0.13277121704971528,0.0,0.0,0.0,0.0,0.0,0.0,-0.2539605628656725
6,Pd,CH3CCO,4.8039,0.6121,2.134,2,0,2,3,1,0,100.99975805584411,51.49031581572669,30.029697162688493,24.92323892150138,22.967054161597037,21.762446748834588,17.860898517493304,16.60583957102624,14.300988760488675,13.71713086849194,13.496823507926955,12.496353801561938,11.791218599276336,11.660604875165852,11.489158009959073,10.731176685824328,10.086304099248613,9.604603474493508,9.235848785466514,8.887542888378093,8.562821043992379,8.327566689493228,8.105276037413635,7.928414114703324,7.720530435223233,7.404262202153855,7.240818506852219,7.1155245884627245,0.13349052015483753,0.11839323091026867,0.0,0.0,0.0,0.0,-0.2571398620205227
7,Pd,CH3CCOO,4.8039,0.6121,2.134,1,1,2,3,2,0,120.86241913594084,59.57888481586002,50.08464204508758,28.657372566806576,23.824132495768996,22.6263034661,20.747242592026176,17.554710920627514,16.452921090161592,14.245404479989245,13.835201727866695,13.340490263434472,12.066573924978691,11.853754200377061,11.635775481806226,11.499410177632127,10.664546592561301,10.505923072785189,9.552293958698936,8.89322544971818,8.831824743717872,8.47635822125663,8.397187948198408,8.26958860232068,8.064668751951832,7.7838549180331125,7.337944385275639,7.2828696709817375,7.144587280275252,0.13046439732309945,0.09459811136085992,0.0,0.0,0.0,-0.2415199507792228
8,Pd,CH3CCOOH,4.8039,0.6121,2.134,1,1,2,3,2,1,120.23442555249595,59.52583075754658,50.08551954229618,28.611256407555967,23.834450630197548,22.700368299753993,21.75080181460721,17.679386032658527,16.248487462766715,14.280818524991007,13.885597865518953,13.326477094515381,12.18389553864932,11.753482621379485,11.659341815604872,11.307301913088672,10.83251631429835,10.541129388924775,9.6055913995892,8.94248973592601,8.934914719431964,8.511291138168355,8.3769357709135,8.256420311386151,8.017029484331818,7.7743194442367995,7.355145739037655,7.290040125990137,7.17667826879509,0.1319441960461891,0.08920471136945098,0.0,0.0,-0.10225060776270918,-0.24718647616592054
9,Pd,CH3CH,4.8039,0.6121,2.134,1,0,1,4,0,0,58.41541583581535,29.297790960230884,24.743371979539514,22.07449761188629,20.56341008410352,18.03192523992595,16.030465868112096,14.837021548420422,13.644339613961506,12.624538165122171,12.238805107362568,11.381725437565226,11.006007063627838,10.790297858764289,10.273514411841273,10.102970203110688,9.01528676947012,8.812919427565289,8.480623151772438,8.406156712558587,8.170174943034352,8.037761020936957,7.604503962335316,7.526055934808108,7.403331242935066,7.145293951996548,0.14287857550564848,0.13224449567692398,0.0,0.0,0.0,0.0,0.0,-0.008887576267426686,-0.26227870262083897
