,0,1,2,3,4,c_m,o_m,c_c,c_h,c_o,o_h,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,Pd,CH2C,4.8039,0.6121,2.134,2,0,1,2,0,0,57.06509448657322,24.04076997271517,20.643938682242762,19.48496454561171,18.661283612544427,16.364007162541043,15.449998939850998,14.199585798105275,13.654753672237248,13.09282587739981,12.599037185048521,12.357547106956627,12.220096152077069,11.949024666696413,11.41417736581672,10.745874182614044,10.568468366153358,10.363921967330011,9.979791126055943,9.575724701220006,9.040360294987432,8.56978577192512,8.526326018198526,8.462078499424083,8.269242578674884,8.250889590593419,0.20649359431872089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09390101881592453
1,Pd,CH2CH,4.8039,0.6121,2.134,2,0,1,3,0,0,55.986673706593855,23.64984978606872,22.17815197271909,19.43816806292156,18.683363497215183,16.454880855610668,15.213054234205895,14.431083113705164,13.812944632820336,13.454884346321268,12.670352405719392,12.475254425871267,11.991194361689306,11.671172622667012,11.354479333846974,10.93451180661273,10.4975020129112,10.160923221618566,9.931594462141673,9.657063048123764,9.293128666937342,8.742643800716946,8.550254215257128,8.368042861446003,8.31128060345918,8.056821197551878,0.1947029367635812,0.07957528217776841,0.0,0.0,0.0,0.0,0.0,0.0,-0.08139057459669463
2,Pd,CH2CH2,4.8039,0.6121,2.134,2,0,1,4,0,0,55.31865125946676,22.937944114931888,22.490480469084183,19.724235472585924,18.55087933358989,16.349457958546616,15.42111253914238,14.77289091982162,13.759519674195198,13.46586747349585,12.659123976666413,12.511669635664411,12.20602357536823,12.06181195061735,11.375173980107427,10.757440206990301,10.578811224307005,10.309489198063492,10.053840740123496,9.748840507849467,9.051857024860574,8.874690238065535,8.533799732629731,8.426519241137001,8.336007495844369,8.142847127317916,0.2791101667158958,0.12111606477235175,0.0,0.0,0.0,0.0,0.0,-0.011014688434081573,-0.14603571443056776
3,Pd,CH2CHCO,4.8039,0.6121,2.134,3,1,2,3,1,0,93.8028852593742,53.90563328633264,25.75178720021737,22.642496895557443,19.715746603813503,18.507714610119823,16.353459662643047,16.078488941891862,15.248613767991829,14.48053588976659,13.686694908099806,13.51584079798933,12.69709778941684,12.332413026435065,12.261700947012516,11.72505445320284,11.367973042627845,10.716069372433996,10.409360774555417,10.236532605429684,9.947187635460397,9.598920434518893,9.094037480242653,8.809803285649638,8.538512983504202,8.431254611380107,8.330969712190399,8.183808179440506,0.2081456624355678,0.0569143710558618,0.0,0.0,0.0,0.0,-0.098693372457123
4,Pd,CH2CHCOOH,4.8039,0.6121,2.134,2,0,2,3,2,1,110.70330667572635,62.11241076419146,51.37110322052707,24.114214141837802,22.897019318253736,19.486907359774985,18.724943329150783,16.342324194185554,15.45498585049527,14.870394091015966,13.9608609886695,13.68482073413615,13.469111241427164,12.537439582521547,12.516979065411205,12.198197348891004,11.929315523494004,11.361142643941445,10.70988745638794,10.550862385465301,10.32290477251415,10.024494476796818,9.73681645593552,9.058679655430149,8.867575924763381,8.500022963225515,8.393985119331736,8.314037932635701,8.205590448187905,0.2088505009303976,0.06011751146743453,0.0,0.0,-0.03390911782827481,-0.10173702075159986
5,Pd,CH3C,4.8039,0.6121,2.134,1,0,1,3,0,0,55.1768834911926,25.68230727020972,21.020453063162986,19.833357075815577,18.666980262744637,16.487177478075186,15.198320508682055,14.262710280059563,13.823061255180313,13.04878097108316,12.81323342412735,12.318125901226239,12.01213443598923,11.727333644771061,11.440892737832366,10.992331695727144,10.516971586458883,10.159101707072873,9.937284987103023,9.665211618705296,8.996742814560474,8.61416285032562,8.506098617679646,8.414546871824225,8.326682838604192,8.302387738654815,0.18662834372560114,0.18641802950256706,0.0,0.0,0.0,0.0,0.0,0.0,-0.15416060099990006
6,Pd,CH3CCO,4.8039,0.6121,2.134,2,0,2,3,1,0,94.64561463167514,51.67698530853691,28.1780567101348,22.057483616073192,19.760182324459453,18.755795136588567,16.389198757004447,16.004835874587016,15.008959156775283,14.325979548918074,13.647436478916775,13.315411510357395,12.640150925963475,12.58445882806449,12.211933284909652,11.669422393711232,11.291643498728295,10.752198793233989,10.585945249212848,10.287854937389287,9.84381268390167,9.623557945761961,9.031973540462387,8.637411422420858,8.511046770106981,8.438126975334985,8.307185314681181,8.153178040794351,0.18479481372410714,0.17028309603652542,0.0,0.0,0.0,0.0,-0.15395675013241827
7,Pd,CH3CCOO,4.8039,0.6121,2.134,1,1,2,3,2,0,111.60380386514288,62.16246396925319,50.1908164849665,24.839116985144248,22.5217751289247,19.41422727377093,18.4845036335726,16.243583399608063,15.371890806389786,15.230012597297026,13.798451768258722,13.636315457882946,13.471434528312823,12.700630983652589,12.398837567842715,12.234379783505444,11.693677985739065,11.25628674910175,10.69258840243103,10.428742678865568,10.230142924984987,10.029602246764146,9.669786108618037,9.10595137666302,8.962647162541339,8.584710120723116,8.446161406965622,8.327593746337634,8.135472772645452,0.18247119220170765,0.1440611794894748,0.0,0.0,0.0,-0.13848474945449354
8,Pd,CH3CCOOH,4.8039,0.6121,2.134,1,1,2,3,2,1,110.96653564294719,62.30119163444724,50.15582567172226,25.257702319081698,22.53277823828516,19.60032271836096,18.68447482284513,16.257769429059504,15.382191811521855,15.251919453344975,14.017270675131956,13.576106330718106,13.065761067911325,12.60966215491704,12.487545594853525,12.286815296389758,11.784325778504915,11.470684859737634,10.756287986326521,10.527105857836844,10.332542292062813,9.935604378087,9.598196557444592,9.10062008282284,8.79245261509993,8.583311200577397,8.42296396658515,8.355011840979472,8.306991546654649,0.18557623722889866,0.1468976313183071,0.0,0.0,-0.036318091515872855,-0.14247206314573854
9,Pd,CH3CH,4.8039,0.6121,2.134,1,0,1,4,0,0,54.57384999260646,25.036822546749075,21.814746397325006,19.68595241991572,18.70640820821711,16.459855885947384,15.36451323907377,14.540872786128535,14.135875881386836,13.112921800742338,12.778852622719278,12.371239005529599,11.813621986326547,11.767040833112702,11.091763841582171,10.968311329008742,10.4661208174194,10.398466478185616,9.836985436169678,9.624240922617533,9.46114550261359,8.766710008373101,8.69322438741905,8.519407969480879,8.251342704284838,8.144527437090053,0.1960176793565344,0.18333983187207994,0.05114006061916213,0.0,0.0,0.0,0.0,0.0,-0.15315711277603722
10,Pd,CH3CH2,4.8039,0.6121,2.134,1,0,1,5,0,0,53.850460439483264,23.889127639089107,22.76603420095193,19.65803349122852,18.465397097496023,16.26511024275932,15.335388659546025,14.943434533432741,13.839406273902867,13.5053047980081,12.720484848713836,12.52880529081169,12.270898720004704,12.042046689509187,11.578096505201705,10.757229538538313,10.497497119726887,10.359298215787124,10.066253567318931,9.743273627379272,9.136839576603572,8.890448364658779,8.602815609572176,8.471579313411263,8.36131129729603,8.276864074714876,0.2553659647871992,0.17965789607113214,0.11323415743135212,0.0,0.0,0.0,0.0,-0.03564002822534885,-0.17189682611413593
11,Pd,CH3CH2CO,4.8039,0.6121,2.134,1,1,2,5,1,0,93.93859470333344,50.20203445420987,28.006316428911585,22.65029061770603,20.108720105296445,18.58079198425864,17.370479018860408,16.568159388649722,15.434825359236825,14.536769697655188,13.662120181980177,13.18987375623026,12.78077701023416,12.470588863074633,12.318275466090693,11.620549227258069,11.057750236047239,10.832134653795556,10.737072007136362,10.126605589007623,9.819711037091711,9.53939091488809,9.397220876002613,8.732626733948155,8.586712898013397,8.398121449117975,8.315284265630643,8.220772236892472,0.24548862452449405,0.1889787829539466,0.10886916258314112,0.0,0.0,-0.029981872154634274,-0.1789630401325113
12,Pd,CH3CH2COO,4.8039,0.6121,2.134,0,2,2,5,2,0,111.18608514138285,62.5849849751869,49.307007989518965,24.570557250008346,22.887276077409677,20.004036249724304,18.826660915430512,16.40553718384182,15.652455461861772,15.073959047436256,13.916150313408565,13.716605198546542,13.265384527715135,12.719923413099005,12.58546299545385,12.41321453635447,11.71631728056256,11.259547701125847,10.572045845593962,10.55409111604743,10.187859283745325,9.82976003815192,9.749301417206906,9.540864436107297,8.811009563752028,8.572049216212276,8.336419993024794,8.25848440631984,8.203162545217781,0.2514285652804604,0.18734135702694366,0.11234315393670598,0.0,-0.025136096090912385,-0.17853556145730404
13,Pd,CH3CH2COOH,4.8039,0.6121,2.134,0,0,2,5,2,1,110.7224443961768,62.131049305031645,49.40785027109607,24.508539203369484,23.44666392929328,20.000527426842922,18.83109200999952,16.388609982361213,15.715937711876956,15.231382095809412,13.975255906941511,13.881447642755957,13.25295921320977,12.719173044451313,12.645118470171385,12.44099183899846,11.734977089843607,11.271431612747595,10.600521497944856,10.589772581977957,10.207968686013016,9.838144220238377,9.760396096395963,9.614100514169936,8.826702265751125,8.572945273285171,8.376620554105424,8.300256062218716,8.250867209588392,0.24750037518244444,0.19151861602564696,0.10961074361020677,-0.007400002132491811,-0.052702157812816786,-0.17861814939591772
14,Pd,CH3CH3,4.8039,0.6121,2.134,0,0,1,6,0,0,53.08391735882641,23.435424530669078,23.20031882069963,19.67907317065434,18.893421486103488,16.342027818162972,15.523902039081404,15.124813213257356,13.883602720587325,13.511071636535272,12.705349074139534,12.566732477616055,12.233678175002586,12.20288452258456,11.442865659003992,10.760744555554057,10.58413001170759,10.38771975696122,10.144244837412174,9.827639219060645,9.077894050894974,8.907473122791819,8.556525784346265,8.470297194284607,8.446375236880929,8.256060678414148,0.2535221209061804,0.2404280303829241,0.11191851861712984,0.10392833072614388,0.0,0.0,0.0,-0.09027538965180153,-0.20554786311640652
15,Pd,CH3CHCO,4.8039,0.6121,2.134,2,0,2,4,1,0,94.45416529566673,51.14904084539387,27.49206852015531,22.404325304006306,19.724659630062614,18.860077666727875,16.351717728787932,16.208575071045058,15.406544289961662,14.52450196650079,13.551043982805655,13.451410978045926,12.654128244872078,12.453284596883435,12.190225551393334,11.986205924657964,11.339163694225938,10.750794535706909,10.582466680684774,10.27572220633004,10.042280722325437,9.68340735896138,9.052977264958454,8.831084612605112,8.537108360085218,8.415390124538543,8.317388217985394,8.080680388827266,0.19600400879006916,0.18220078320435784,0.050436587235046126,0.0,0.0,0.0,-0.1621203250976816
16,Pd,CH3CHCOO,4.8039,0.6121,2.134,1,2,2,4,2,0,110.78158617895521,62.35710495298638,50.29256013942639,24.51851899117053,23.038489406847766,19.833176270347096,18.81920320221274,16.38806921454799,15.594539921888988,15.052755401331144,13.970528817968695,13.720613036976467,13.208564560900896,12.691973419132173,12.506420582613954,12.344207003985726,11.644518113371834,11.232851854306817,10.551475482828724,10.493969160279596,10.160602224802638,9.814822125307415,9.718732246046011,9.53592058976381,8.766619343968319,8.539670315077982,8.312572599641387,8.227027847836986,8.185208631309441,0.1939432578091326,0.17645872942169386,0.041732845529842064,0.0,0.0,-0.1607809304503447
17,Pd,CH3CHCOOH,4.8039,0.6121,2.134,1,0,2,4,2,1,110.6268721033586,62.30703583521132,49.851860912814075,24.956432744624,22.867518659569658,19.750441519880148,18.770916927766578,16.357249833377434,15.458041372621697,15.248762690424089,13.948331814438767,13.677046667213032,13.394239883575786,12.624141263742384,12.500359730046885,12.194332093309024,12.073380335493164,11.37066047344084,10.73629690804916,10.573422127306943,10.32950013651157,10.044687683504186,9.759800952372897,9.05224851926939,8.852298135683817,8.53378693407832,8.413149287743208,8.382444551927557,8.173395866851351,0.20168763135428625,0.17593933658467953,0.049361073197611696,0.0,-0.039383761723714834,-0.1626047054756042
18,Pd,CHCH,4.8039,0.6121,2.134,2,0,1,2,0,0,57.60287635332754,22.733843301885337,21.8371798551408,19.43911106802882,18.184420841115287,16.164103878183994,15.469060425060832,14.417936998997641,13.680798479476152,13.344971861648471,12.506420659767967,12.367713145529759,12.163935125606324,11.993227249738045,11.347735097365165,10.631288715141377,10.564426654536891,10.327392570474883,9.945234308342703,9.627087648217945,9.052259883223794,8.779443700495849,8.541419253379816,8.450615662885543,8.3401928294179,8.054050928843145,0.10875525961366976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013340856349103631
19,Pd,CHCHCO,4.8039,0.6121,2.134,3,0,2,2,1,0,94.17498405057192,54.05766498377355,25.86016587736709,22.535109240865413,19.587393119095623,18.513786401729075,16.36926207918625,16.255299446014405,15.175958195926857,14.193626815402215,13.592300221838086,13.552114790477944,12.728581860707571,12.342064258817013,11.85182525653848,11.5779924191424,10.92673373826148,10.878228867144976,10.583901558746456,10.392010611583142,9.955567796780155,9.559670691477406,9.205418549037507,8.781041236509255,8.518422998936872,8.354241638682058,8.288470966808013,8.104311994906714,0.11890731670924877,0.0019038352955789027,0.0,0.0,0.0,0.0,0.0
