,0,1,2,3,4,c_m,o_m,c_c,c_h,c_o,o_h,5,6,7,8,9,10,11,12,13,14,15
0,Pd,CH2C,4.8039,0.6121,2.134,2,0,1,2,0,0,63.94838212151533,11.478379186622224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03805796473292001,-0.672492944552705
1,Pd,CH2CH,4.8039,0.6121,2.134,2,0,1,3,0,0,63.34718452131078,12.859873670813114,0.0,0.0,0.0,0.0,0.0,0.0,-0.0461975580957913,-0.2544982629331241,-0.6901519722430312
2,Pd,CH2CH2,4.8039,0.6121,2.134,2,0,1,4,0,0,63.981330321883014,13.067864163744039,0.04078377814297742,0.0,0.0,0.0,0.0,0.0,-0.12567006648756515,-0.400847547235508,-0.8472502511950228
3,Pd,CH2CHCO,4.8039,0.6121,2.134,3,1,2,3,1,0,120.11431894454941,44.86031834426004,15.42907524672716,6.314972535122992,0.0,0.0,0.0,0.0,-0.04576009668388351,-0.3123184648000276,-0.7695961910875807
4,Pd,CH2CHCOOH,4.8039,0.6121,2.134,2,0,2,3,2,1,153.84906000335016,46.23966901993562,42.188038074040215,14.461258188046026,4.495990444964976,0.0,0.0,-0.0456147931209132,-0.30974694296906397,-0.4972972745605879,-0.7736516817880971
5,Pd,CH3C,4.8039,0.6121,2.134,1,0,1,3,0,0,62.72745559360815,13.417552011131999,0.0,0.0,0.0,0.0,0.0,0.0,-0.05949439284308306,-0.059638323409073025,-0.8096644896361629
6,Pd,CH3CCO,4.8039,0.6121,2.134,2,0,2,3,1,0,121.78792116238571,42.45669006601735,17.057517853529912,5.243329552763587,0.0,0.0,0.0,0.0,-0.06217081923254505,-0.06397672410137206,-0.8283007732746694
7,Pd,CH3CCOO,4.8039,0.6121,2.134,1,1,2,3,2,0,154.12040251353844,46.47427266117686,40.42827809055689,14.83200436168425,4.18444451950104,0.0,0.0,0.0,-0.0640657019630162,-0.06879867252583019,-0.7988327340703948
8,Pd,CH3CCOOH,4.8039,0.6121,2.134,1,1,2,3,2,1,154.0620394584639,46.916776435375866,40.12602867873199,15.417734775804377,4.515151673958131,0.0,0.0,-0.06154489844237795,-0.07239213968311523,-0.4920636170911588,-0.8040253292190193
9,Pd,CH3CH,4.8039,0.6121,2.134,1,0,1,4,0,0,63.093008607449924,13.844197201348527,0.0,0.0,0.0,0.0,0.0,-0.04414353589425474,-0.06316284112204514,-0.2792718911367602,-0.8344171417934267
10,Pd,CH3CH2,4.8039,0.6121,2.134,1,0,1,5,0,0,63.49472451003441,14.272143496860886,0.014691220303837273,0.0,0.0,0.0,0.0,-0.0616406288139706,-0.1291087264715842,-0.4632785447056825,-0.9113209283560209
11,Pd,CH3CH2CO,4.8039,0.6121,2.134,1,1,2,5,1,0,121.08143490797696,42.05988272864373,17.595385387447795,7.4770555138970805,0.002350150221674305,0.0,0.0,-0.06558440801128967,-0.13412609485836174,-0.4823206871533593,-0.9430671800760638
12,Pd,CH3CH2COO,4.8039,0.6121,2.134,0,2,2,5,2,0,154.0819601640274,46.72056565344719,41.125185504032935,15.274965170826265,4.588396226899503,0.0014135113804388119,0.0,-0.06702454950792491,-0.13765911693543714,-0.5160890778797811,-0.9640084483923974
13,Pd,CH3CH2COOH,4.8039,0.6121,2.134,0,0,2,5,2,1,154.41049751771905,46.86273373924989,41.16695106544502,15.605674098480367,4.726884654127625,4.95164836220436e-05,-0.06850897067549187,-0.13735762600010318,-0.4520630892832585,-0.5378536783363373,-0.9693021893121596
14,Pd,CH3CH3,4.8039,0.6121,2.134,0,0,1,6,0,0,63.78525762060724,14.76162282875572,0.007613289924049404,0.006547249671639038,0.0,0.0,0.0,-0.13369615273471394,-0.13379732904617536,-0.5644491727191352,-1.0128879356067242
15,Pd,CH3CHCO,4.8039,0.6121,2.134,2,0,2,4,1,0,121.88611707701692,42.70450999160396,16.842411132237004,5.977114899881544,0.0,0.0,0.0,-0.0575811667908261,-0.06480417210338718,-0.3261445512517388,-0.870612892505568
16,Pd,CH3CHCOO,4.8039,0.6121,2.134,1,2,2,4,2,0,153.00147338193864,46.33153240230793,41.84555251884935,15.158206490947268,4.642696929705632,0.0,0.0,-0.05822829295780418,-0.06630437463292004,-0.3604861757007625,-0.8867378425587833
17,Pd,CH3CHCOOH,4.8039,0.6121,2.134,1,0,2,4,2,1,154.0039190061504,46.90294667434324,40.857629954762686,15.549716934161472,4.628078288449184,0.0,-0.05552514852724712,-0.06840504515885001,-0.33031132973243404,-0.4984836684441575,-0.8818606281060473
18,Pd,CHCH,4.8039,0.6121,2.134,2,0,1,2,0,0,64.32623239873645,11.147194426741477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19033451733958176,-0.5668819092864306
19,Pd,CHCHCO,4.8039,0.6121,2.134,3,0,2,2,1,0,120.82696213419901,44.21639191892312,14.769438683456636,6.031988016625514,0.0,0.0,0.0,0.0,0.0,-0.2101741927835319,-0.5435962423325345
20,Pd,CHCHCOOH,4.8039,0.6121,2.134,2,0,2,2,2,1,153.105285033605,45.77303572548114,42.6567910028651,14.34874858920559,4.485853593049601,0.0,0.0,0.0,-0.2247445595662184,-0.4364072200020749,-0.6008571267398066
21,Pd,CO,4.8039,0.6121,2.134,1,0,0,0,1,0,99.47013795712911,10.904661962107058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Pd,CO2,4.8039,0.6121,2.134,0,0,0,0,2,0,134.75775564885066,46.30694404717492,2.8267949430208366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Pd,COOH,4.8039,0.6121,2.134,1,0,0,0,2,1,131.7964830437556,45.40201226198069,7.662942929343207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4699435960330546
24,Pd,H2O,4.8039,0.6121,2.134,0,0,0,0,0,2,75.3184068786194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14306978084254793,-0.6586423779666138
25,Pd,OH,4.8039,0.6121,2.134,0,1,0,0,0,1,74.42859272285891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4118980030486768
26,Pt,CH2C,4.336672,0.808692,1.84181,2,0,1,2,0,0,63.494825229278774,11.924046040862146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.039410842357437054,-0.6632500289315647
27,Pt,CH2CH,4.336672,0.808692,1.84181,2,0,1,3,0,0,62.97878058288542,13.222576002045047,0.0,0.0,0.0,0.0,0.0,0.0,-0.050486128262611465,-0.2577705735615679,-0.6768894842543347
28,Pt,CH2CH2,4.336672,0.808692,1.84181,2,0,1,4,0,0,63.31282688483197,13.709700526869039,0.03603597953669649,0.0,0.0,0.0,0.0,0.0,-0.13370047678080815,-0.4013117184793091,-0.8073407971257143
29,Pt,CH2CHCO,4.336672,0.808692,1.84181,3,1,2,3,1,0,119.43995545950405,44.412079966024656,15.972371043474944,6.861327381101992,0.0,0.0,0.0,0.0,-0.05381551399046836,-0.3129047388331366,-0.7280032791938019
30,Pt,CH2CHCOOH,4.336672,0.808692,1.84181,2,0,2,3,2,1,153.9262658930458,45.88081207125392,41.74976453530179,14.994680327819008,4.6431345768837975,0.0,0.0,-0.054062490594663414,-0.30327228596660777,-0.4984936179331132,-0.7311239719114634
31,Pt,CH3C,4.336672,0.808692,1.84181,1,0,1,3,0,0,62.712707908482656,13.435947390274015,0.0,0.0,0.0,0.0,0.0,0.0,-0.05954503826403607,-0.05988792276869415,-0.8130119388720376
32,Pt,CH3CCO,4.336672,0.808692,1.84181,2,0,2,3,1,0,121.8898996150761,42.19513584128712,16.945274280490505,5.51776939011308,0.0,0.0,0.0,0.0,-0.06283935920196235,-0.06355814902508962,-0.8306713006515304
33,Pt,CH3CCOO,4.336672,0.808692,1.84181,1,1,2,3,2,0,154.07720510394216,46.43847800636304,40.3861644025972,14.89677683449267,4.245639990516357,0.0,0.0,0.0,-0.06285855563002972,-0.06801425377955338,-0.8056864906035788
34,Pt,CH3CCOOH,4.336672,0.808692,1.84181,1,1,2,3,2,1,154.18825044503643,46.77995392912789,40.07829574547092,15.463932585053053,4.536882515608046,0.0,0.0,-0.059982211716079537,-0.07264005979405322,-0.49540555962509,-0.8115823512625446
