,0,1,2,3,4,c_m,o_m,c_c,c_h,c_o,o_h,5,6,7,8,9,10,11,12,13,14,15
0,Pd,CH2C,4.8039,0.6121,2.134,2,0,1,2,0,0,50.96240898575947,23.949221146888963,0.344228848944323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5396485827409001
1,Pd,CH2CH,4.8039,0.6121,2.134,2,0,1,3,0,0,49.51554295338767,25.892573900838322,0.337046483289814,0.0,0.0,0.0,0.0,0.0,0.0,-0.02667903150073021,-0.5022739071632311
2,Pd,CH2CH2,4.8039,0.6121,2.134,2,0,1,4,0,0,49.9064175025901,26.11866998418992,0.37453282764331214,0.30624559113968786,0.0,0.0,0.0,0.0,0.0,-0.31188114999365946,-0.6777743567175272
3,Pd,CH2CHCO,4.8039,0.6121,2.134,3,1,2,3,1,0,87.5079106929776,50.43051275807571,29.349655349947337,18.578493434718023,0.3399530607115424,0.0,0.0,0.0,0.0,-0.06700741008471606,-0.5485075682575529
4,Pd,CH2CHCOOH,4.8039,0.6121,2.134,2,0,2,3,2,1,97.93929879828468,68.67086701730224,49.021834919331724,28.219860731098237,16.582160691342573,0.34029813025552064,0.0,0.0,-0.07299591995305857,-0.5245601014558218,-0.5690592283076824
5,Pd,CH3C,4.8039,0.6121,2.134,1,0,1,3,0,0,48.61788780351813,26.74650914067938,0.3248600090199262,0.3247245253816186,0.0,0.0,0.0,0.0,0.0,0.0,-0.7977710797471721
6,Pd,CH3CCO,4.8039,0.6121,2.134,2,0,2,3,1,0,89.66238048820674,48.577870013869635,30.19172368848115,17.307942885221742,0.3255489843557735,0.3223298415971004,0.0,0.0,0.0,0.0,-0.7967855836442918
7,Pd,CH3CCOO,4.8039,0.6121,2.134,1,1,2,3,2,0,99.32315789643374,67.7611707787293,47.5808782690983,28.51935432192079,16.023513058450156,0.3238891948050125,0.31994546440727384,0.0,0.0,0.0,-0.7442039459461582
8,Pd,CH3CCOOH,4.8039,0.6121,2.134,1,1,2,3,2,1,97.87958978911553,68.41289080916802,47.69975499099599,29.418826928099985,16.850322949111458,0.3229915369773994,0.31990736419495874,0.0,0.0,-0.5432723395826902,-0.7533069901823827
9,Pd,CH3CH,4.8039,0.6121,2.134,1,0,1,4,0,0,48.63543028302992,27.236788588256086,0.3276219114529568,0.3213783203924848,0.0,0.0,0.0,0.0,0.0,-0.015224893397119282,-0.7897838108823952
10,Pd,CH3CH2,4.8039,0.6121,2.134,1,0,1,5,0,0,48.722120424206025,27.742300553610075,0.35469763384247444,0.32090970559373944,0.2992667446984484,0.0,0.0,0.0,0.0,-0.3847585491051037,-0.8383261139937894
